24.09.2018 -OPEN;24.09.2018 -HIGH;24.09.2018 -LOW;24.09.2018 -CLOSE;24.10.2018 -OPEN;24.10.2018 -HIGH;24.10.2018 -LOW;24.10.2018 -CLOSE;26.11.2018 -OPEN;26.11.2018 -HIGH;26.11.2018 -LOW;26.11.2018 -CLOSE;04.12.2018 -OPEN;04.12.2018 -HIGH;04.12.2018 -LOW;04.12.2018 -CLOSE
1,1364E+12;1,152E+12;1,1364E+12;1,1438E+12;1,1179E+12;1,1205E+12;1,1149E+12;1,1191E+12;1,1128E+12;1,1128E+12;1,1045E+12;1,1055E+12;1,1515E+12;1,1547E+12;1,1492E+12;1,1517E+12
1,1438E+12;1,1445E+12;1,1426E+12;1,1437E+12;1,1191E+12;1,1198E+12;1,1173E+12;1,1195E+12;1,1055E+12;1,1056E+12;1,1035E+12;1,1039E+12;1,1518E+12;1,1522E+12;1,1502E+12;1,1515E+12
1,1438E+12;1,1442E+12;1,1426E+12;1,1429E+12;1,1194E+12;1,1205E+12;1,1189E+12;1,1189E+12;1,1039E+12;1,106E+12;1,1037E+12;1,1055E+12;1,1515E+12;1,1519E+12;1,151E+12;1,1516E+12
1,1429E+12;1,1433E+12;1,1423E+12;1,1426E+12;1,1189E+12;1,1209E+12;1,1187E+12;1,1204E+12;1,1056E+12;1,106E+12;1,1043E+12;1,1055E+12;1,1516E+12;1,152E+12;1,1505E+12;1,1505E+12
1,1428E+12;1,1432E+12;1,1423E+12;1,1426E+12;1,1205E+12;1,1205E+12;1,1178E+12;1,118E+12;1,1055E+12;1,1057E+12;1,1015E+12;1,1015E+12;1,1505E+12;1,1511E+12;1,1491E+12;1,1511E+12
1,1427E+12;1,1439E+12;1,1425E+12;1,1431E+12;1,1182E+12;1,119E+12;1,1176E+12;1,1182E+12;1,1016E+12;1,1031E+12;1,1013E+12;1,1022E+12;1,1508E+12;1,1513E+12;1,15E+12;1,1508E+12
1,1431E+12;1,1439E+12;1,143E+12;1,1433E+12;1,1182E+12;1,1186E+12;1,1165E+12;1,1175E+12;1,1024E+12;1,1024E+12;1,093E+12;1,0969E+12;1,1507E+12;1,1514E+12;1,1505E+12;1,1512E+12
1,1432E+12;1,1439E+12;1,143E+12;1,1436E+12;1,1175E+12;1,1187E+12;1,1174E+12;1,118E+12;1,0969E+12;1,097E+12;1,095E+12;1,0953E+12;1,1511E+12;1,1514E+12;1,1503E+12;1,1506E+12
1,1436E+12;1,1438E+12;1,143E+12;1,1436E+12;1,1179E+12;1,1194E+12;1,1173E+12;1,1187E+12;1,0954E+12;1,0969E+12;1,0954E+12;1,0965E+12;1,1507E+12;1,1508E+12;1,1497E+12;1,1501E+12
1,1435E+12;1,1437E+12;1,1421E+12;1,1431E+12;1,1186E+12;1,1188E+12;1,1178E+12;1,1187E+12;1,0964E+12;1,0977E+12;1,0963E+12;1,0969E+12;1,15E+12;1,1502E+12;1,1494E+12;1,1501E+12
1,143E+12;1,1434E+12;1,1426E+12;1,143E+12;1,1187E+12;1,119E+12;1,1174E+12;1,1175E+12;1,0969E+12;1,0973E+12;1,0963E+12;1,0968E+12;1,15E+12;1,1504E+12;1,1497E+12;1,1499E+12
1,143E+12;1,1435E+12;1,1428E+12;1,1434E+12;1,1174E+12;1,1176E+12;1,1168E+12;1,1172E+12;1,0967E+12;1,0986E+12;1,0966E+12;1,0984E+12;1,1498E+12;1,1502E+12;1,1496E+12;1,1498E+12
1,1433E+12;1,1438E+12;1,143E+12;1,1433E+12;1,1174E+12;1,1178E+12;1,1169E+12;1,1174E+12;1,0984E+12;1,0985E+12;1,0944E+12;1,0954E+12;1,1499E+12;1,1506E+12;1,1499E+12;1,1499E+12
1,1432E+12;1,1437E+12;1,1431E+12;1,1436E+12;1,1174E+12;1,1175E+12;1,1166E+12;1,1175E+12;1,0954E+12;1,0957E+12;1,0944E+12;1,0952E+12;1,15E+12;1,1501E+12;1,1492E+12;1,1493E+12
1,1435E+12;1,144E+12;1,1433E+12;1,1439E+12;1,1175E+12;1,1176E+12;1,117E+12;1,1173E+12;1,0951E+12;1,0953E+12;1,0922E+12;1,0926E+12;1,1493E+12;1,1494E+12;1,1482E+12;1,1486E+12
