Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
03B,0200,03B,0000,000,0000,000,0000,0000,004,0100
03B,0200,03C,0200,03B,0200,000,003B,0000,004,0100
03C,A057,03D,A057,057,1111,000,003C,1111,000,0000
03D,0C00,03E,0C00,7FF,1111,7FF,003D,1111,000,0000,7FF,1111
03E,A059,03F,A059,059,2222,7FF,003E,2222,000,0000
03F,0C00,040,0C00,7FE,2222,7FE,003F,2222,000,0000,7FE,2222
040,D65F,65F,D65F,7FD,0041,7FD,D65F,2222,000,0000,7FD,0041
65F,AC02,660,AC02,7FF,1111,7FD,0002,1111,000,0000
660,4C01,661,4C01,7FE,2222,7FD,0001,3333,000,0000
661,0A00,041,0A00,7FD,0041,7FE,0661,3333,000,0000
041,0800,042,0800,7FE,2222,7FF,0041,2222,000,0000
042,0800,043,0800,7FF,1111,000,0042,1111,000,0000
043,E05B,044,E05B,05B,1111,000,0043,1111,000,0000,05B,1111
044,A058,045,A058,058,0001,000,0044,0001,000,0000
045,0C00,046,0C00,7FF,0001,7FF,0045,0001,000,0000,7FF,0001
046,205E,047,205E,05E,0008,7FF,0046,0000,004,0100
047,F002,04A,F002,047,F002,7FF,0002,0000,004,0100
04A,EC01,04B,EC01,000,0000,7FF,0001,0000,004,0100
04B,A05A,04C,A05A,05A,000A,7FF,004B,000A,000,0000
04C,0C00,04D,0C00,7FE,000A,7FE,004C,000A,000,0000,7FE,000A
04D,205E,04E,205E,05E,0008,7FE,004D,0008,000,0000
04E,F002,04F,F002,04E,F002,7FE,004E,0008,000,0000
04F,AC01,050,AC01,7FF,0001,7FE,0001,0001,000,0000
050,305D,051,305D,05D,FFF0,7FE,000E,FFF1,008,1000
051,EC01,052,EC01,7FF,FFF1,7FE,0001,FFF1,008,1000,7FF,FFF1
052,D663,663,D663,7FD,0053,7FD,D663,FFF1,008,1000,7FD,0053
663,5C01,664,5C01,7FE,000A,7FD,0001,FFFB,008,1000
664,0A00,053,0A00,7FD,0053,7FE,0664,FFFB,008,1000
053,0800,054,0800,7FE,000A,7FF,0053,000A,000,0000
054,0800,055,0800,7FF,FFF1,000,0054,FFF1,008,1000
055,E05C,056,E05C,05C,FFF1,000,0055,FFF1,008,1000,05C,FFF1
056,0100,057,0100,056,0100,000,0056,FFF1,008,1000
